,Word,NumberOfMeanings,POS,Term1,Term2,Term3,Term4,Term5,Term6,Unnamed: 9
3842,course,12,(noun),course of study,course of instruction,class,education (generic term),instruction (generic term),teaching (generic term),
3843,course,12,(noun),line,series (generic term),,,,,
3844,course,12,(noun),facility (generic term),installation (generic term),,,,,
3845,course,12,(noun),course of action,action (generic term),,,,,
3846,course,12,(noun),path,track,line (generic term),,,,
3847,course,12,(noun),trend,direction (generic term),way (generic term),,,,
3848,course,12,(noun),nutriment (generic term),nourishment (generic term),nutrition (generic term),sustenance (generic term),aliment (generic term),alimentation (generic term),
3849,course,12,(noun),row,layer (generic term),bed (generic term),,,,
3850,course,12,(verb),traverse (generic term),track (generic term),cover (generic term),cross (generic term),pass over (generic term),get over (generic term),
3851,course,12,(verb),run,flow,feed,move (generic term),flow from (related term),run over (related term),
3852,course,12,(verb),hunt (generic term),run (generic term),hunt down (generic term),track down (generic term),,,
3853,course,12,(adv),naturally,of course,unnaturally (antonym),,,,
3854,court,13,(noun),tribunal,judicature,assembly (generic term),,,,
3855,court,13,(noun),royal court,government (generic term),authorities (generic term),regime (generic term),,,
3856,court,13,(noun),playing field (generic term),athletic field (generic term),playing area (generic term),field (generic term),,,
3857,court,13,(noun),courtroom,room (generic term),,,,,
3858,court,13,(noun),courtyard,area (generic term),,,,,
3859,court,13,(noun),residence (generic term),,,,,,
3860,court,13,(noun),royal court,cortege (generic term),retinue (generic term),suite (generic term),entourage (generic term),,
3861,court,13,(noun),motor hotel,motor inn,motor lodge,tourist court,hotel (generic term),,
3862,court,13,(noun),Court,Margaret Court,tennis player (generic term),,,,
3863,court,13,(noun),homage,deference (generic term),respect (generic term),,,,
3864,court,13,(verb),woo,romance,solicit,act (generic term),move (generic term),,
3865,court,13,(verb),woo,,,,,,
3866,court,13,(verb),act (generic term),move (generic term),,,,,
3867,cousin,1,(noun),first cousin,cousin-german,full cousin,relative (generic term),relation (generic term),,
3868,cover,36,(noun),screen,covert,concealment,covering (generic term),,,
3869,cover,36,(noun),blanket,bedclothes (generic term),bed clothing (generic term),bedding (generic term),,,
3870,cover,36,(noun),covering,screening,masking,concealment (generic term),concealing (generic term),hiding (generic term),
3871,cover,36,(noun),binding,book binding,back,protective covering (generic term),protective cover (generic term),protection (generic term),
3872,cover,36,(noun),covering,natural covering,natural object (generic term),,,,
3873,cover,36,(noun),top,covering (generic term),,,,,
3874,cover,36,(noun),covering fire,fire (generic term),firing (generic term),,,,
3875,cover,36,(noun),cover charge,fixed charge (generic term),fixed cost (generic term),fixed costs (generic term),,,
3876,cover,36,(noun),cover version,cover song,recording (generic term),,,,
3877,cover,36,(noun),concealment (generic term),concealing (generic term),hiding (generic term),,,,
3878,cover,36,(verb),uncover (antonym),,,,,,
3879,cover,36,(verb),spread over,touch (generic term),adjoin (generic term),meet (generic term),contact (generic term),,
3880,cover,36,(verb),continue,extend,be (generic term),,,,
3881,cover,36,(verb),satisfy (generic term),fulfill (generic term),fulfil (generic term),live up to (generic term),,,
3882,cover,36,(verb),treat,handle,plow,deal,address,broach (generic term),
3883,cover,36,(verb),embrace,encompass,comprehend,include (generic term),,,
3884,cover,36,(verb),traverse,track,cross,pass over,get over,get across,
3885,cover,36,(verb),report,inform (generic term),,,,,
3886,cover,36,(verb),protect (generic term),,,,,,
3887,cover,36,(verb),protect (generic term),,,,,,
3888,cover,36,(verb),cover up,hide (generic term),conceal (generic term),,,,
3889,cover,36,(verb),protect (generic term),,,,,,
3890,cover,36,(verb),see (generic term),check (generic term),insure (generic term),see to it (generic term),ensure (generic term),control (generic term),
3891,cover,36,(verb),insure,underwrite,guarantee (generic term),warrant (generic term),,,
3892,cover,36,(verb),compensate,overcompensate,compensate (generic term),counterbalance (generic term),correct (generic term),make up (generic term),
3893,cover,36,(verb),endow (generic term),indue (generic term),gift (generic term),empower (generic term),invest (generic term),endue (generic term),
3894,cover,36,(verb),substitute (generic term),deputize (generic term),deputise (generic term),step in (generic term),,,
3895,cover,36,(verb),be (generic term),,,,,,
3896,cover,36,(verb),hide (generic term),conceal (generic term),,,,,
3897,cover,36,(verb),shroud,enshroud,hide,envelop (generic term),enfold (generic term),enwrap (generic term),
3898,cover,36,(verb),breed,copulate (generic term),mate (generic term),pair (generic term),couple (generic term),,
3899,cover,36,(verb),overlay,,,,,,
3900,cover,36,(verb),play (generic term),,,,,,
3901,cover,36,(verb),protect (generic term),,,,,,
3902,cover,36,(verb),brood,hatch,incubate,reproduce (generic term),procreate (generic term),multiply (generic term),
3903,cover,36,(verb),wrap up,dress (generic term),clothe (generic term),enclothe (generic term),garb (generic term),raiment (generic term),
3904,coverage,3,(noun),insurance coverage,sum (generic term),sum of money (generic term),amount (generic term),amount of money (generic term),,
3905,coverage,3,(noun),extent (generic term),,,,,,
3906,coverage,3,(noun),reporting,reportage,news (generic term),,,,
3907,cow,4,(noun),moo-cow,cattle (generic term),cows (generic term),kine (generic term),oxen (generic term),Bos taurus (generic term),
3908,cow,4,(noun),placental (generic term),placental mammal (generic term),eutherian (generic term),eutherian mammal (generic term),,,
3909,cow,4,(noun),unpleasant woman (generic term),disagreeable woman (generic term),,,,,
3910,cow,4,(verb),overawe,awe (generic term),,,,,
3911,crack,23,(adj),ace,A-one,fantastic,first-rate,super,tiptop,
3912,crack,23,(noun),cleft,crevice,fissure,scissure,opening (generic term),gap (generic term),
3913,crack,23,(noun),gap,opening (generic term),,,,,
3914,crack,23,(noun),crevice,cranny,fissure,chap,depression (generic term),impression (generic term),
3915,crack,23,(noun),cracking,snap,noise (generic term),,,,
3916,crack,23,(noun),shot,opportunity (generic term),chance (generic term),,,,
3917,crack,23,(noun),wisecrack,sally,quip,remark (generic term),comment (generic term),,
3918,crack,23,(noun),blemish (generic term),defect (generic term),mar (generic term),,,,
3919,crack,23,(noun),tornado,cocaine (generic term),cocain (generic term),,,,
3920,crack,23,(noun),fling,go,pass,whirl,offer,attempt (generic term),
3921,crack,23,(noun),fracture,cracking,breakage (generic term),break (generic term),breaking (generic term),,
3922,crack,23,(verb),check,break,change (generic term),,,,
3923,crack,23,(verb),sound (generic term),go (generic term),,,,,
3924,crack,23,(verb),snap,sound (generic term),go (generic term),,,,
3925,crack,23,(verb),hit (generic term),,,,,,
3926,crack,23,(verb),break through,pass (generic term),go through (generic term),go across (generic term),,,
3927,crack,23,(verb),crack (generic term),check (generic term),break (generic term),,,,
3928,crack,23,(verb),snap,break (generic term),separate (generic term),split up (generic term),fall apart (generic term),come apart (generic term),
3929,crack,23,(verb),crack up,crock up,break up,collapse,suffer (generic term),sustain (generic term),
3930,crack,23,(verb),tell (generic term),narrate (generic term),recount (generic term),recite (generic term),,,
3931,crack,23,(verb),change (generic term),alter (generic term),modify (generic term),,,,
3932,crack,23,(verb),decompose (generic term),break up (generic term),break down (generic term),,,,
3933,crack,23,(verb),change (generic term),,,,,,
3934,craft,6,(noun),trade,occupation (generic term),business (generic term),job (generic term),line of work (generic term),line (generic term),
3935,craft,6,(noun),vehicle (generic term),,,,,,
3936,craft,6,(noun),trade,class (generic term),social class (generic term),socio-economic class (generic term),,,
3937,craft,6,(noun),craftsmanship,workmanship,skill (generic term),accomplishment (generic term),acquirement (generic term),acquisition (generic term),
3938,craft,6,(noun),craftiness,cunning,foxiness,guile,slyness,wiliness,
3939,craft,6,(verb),fashion (generic term),forge (generic term),,,,,
3940,crash,17,(noun),clang,clangor,clangour,clangoring,clank,clash,
3941,crash,17,(noun),wreck,accident (generic term),,,,,
3942,crash,17,(noun),collapse,happening (generic term),occurrence (generic term),occurrent (generic term),natural event (generic term),,
3943,crash,17,(noun),smash,hit (generic term),hitting (generic term),striking (generic term),,,
3944,crash,17,(noun),mishap (generic term),misadventure (generic term),mischance (generic term),,,,
3945,crash,17,(verb),descend (generic term),fall (generic term),go down (generic term),come down (generic term),,,
3946,crash,17,(verb),move (generic term),,,,,,
3947,crash,17,(verb),ram,collide (generic term),clash (generic term),,,,
3948,crash,17,(verb),pass (generic term),go through (generic term),go across (generic term),,,,
3949,crash,17,(verb),break up,break apart,disintegrate (generic term),,,,
3950,crash,17,(verb),occupy (generic term),reside (generic term),lodge in (generic term),,,,
3951,crash,17,(verb),barge in,gate-crash,intrude (generic term),irrupt (generic term),,,
3952,crash,17,(verb),collide (generic term),,,,,,
3953,crash,17,(verb),dash,hurl (generic term),hurtle (generic term),cast (generic term),,,
3954,crash,17,(verb),change (generic term),,,,,,
3955,crash,17,(verb),go down,fail (generic term),go bad (generic term),give way (generic term),die (generic term),give out (generic term),
3956,crash,17,(verb),doss,doss down,bed down (generic term),bunk down (generic term),,,
3957,crazy,7,(adj),brainsick,demented,distracted,disturbed,mad,sick,
3958,crazy,7,(adj),half-baked,screwball,softheaded,impractical (similar term),,,
3959,crazy,7,(adj),dotty,gaga,enamored,infatuated,in love,smitten,
3960,crazy,7,(adj),excited (similar term),,,,,,
3961,crazy,7,(adj),strange (similar term),unusual (similar term),,,,,
3962,crazy,7,(adj),wild,enthusiastic (similar term),,,,,
3963,crazy,7,(noun),loony,looney,weirdo,lunatic (generic term),madman (generic term),maniac (generic term),
3964,cream,8,(noun),pick,elite (generic term),elite group (generic term),,,,
3965,cream,8,(noun),dairy product (generic term),,,,,,
3966,cream,8,(noun),ointment,emollient,toiletry (generic term),toilet article (generic term),,,
3967,cream,8,(verb),beat (generic term),scramble (generic term),,,,,
3968,cream,8,(verb),bat,clobber,drub,thrash,lick,beat (generic term),
3969,cream,8,(verb),put on (generic term),apply (generic term),,,,,
3970,cream,8,(verb),skim,skim off,cream off,remove (generic term),take (generic term),take away (generic term),
3971,cream,8,(verb),modify (generic term),,,,,,
3972,create,5,(verb),make,make over (related term),make up (related term),,,,
3973,create,5,(verb),act (generic term),move (generic term),,,,,
3974,create,5,(verb),appoint (generic term),charge (generic term),,,,,
3975,create,5,(verb),make,make (generic term),create (generic term),,,,
3976,create,5,(verb),produce,make,,,,,
3977,creation,6,(noun),creative activity,activity (generic term),,,,,
3978,creation,6,(noun),artifact (generic term),artefact (generic term),,,,,
3979,creation,6,(noun),conception,beginning (generic term),,,,,
3980,creation,6,(noun),initiation,founding,foundation,institution,origination,innovation,
3981,creation,6,(noun),Creation,beginning (generic term),start (generic term),commencement (generic term),,,
3982,creation,6,(noun),universe,existence,world,cosmos,macrocosm,natural object (generic term),
3983,creative,2,(adj),originative,fanciful (similar term),notional (similar term),fictive (similar term),imaginative (similar term),ingenious (similar term),
3984,creative,2,(adj),constructive (similar term),,,,,,
3985,creature,3,(noun),animal,animate being,beast,brute,fauna,organism (generic term),
3986,creature,3,(noun),wight,person (generic term),individual (generic term),someone (generic term),somebody (generic term),mortal (generic term),
3987,creature,3,(noun),tool,puppet,slave (generic term),,,,
3988,credit,12,(noun),recognition,approval (generic term),commendation (generic term),,,,
3989,credit,12,(noun),assets (generic term),,,,,,
3990,credit,12,(noun),credit entry,entry (generic term),accounting entry (generic term),ledger entry (generic term),debit (antonym),,
3991,credit,12,(noun),accomplishment (generic term),achievement (generic term),,,,,
3992,credit,12,(noun),deferred payment,payment (generic term),cash (antonym),,,,
3993,credit,12,(noun),course credit,attainment (generic term),,,,,
3994,credit,12,(noun),citation,cite,acknowledgment,reference,mention,quotation,
3995,credit,12,(noun),title (generic term),,,,,,
3996,credit,12,(verb),impute (generic term),ascribe (generic term),assign (generic term),attribute (generic term),,,
3997,credit,12,(verb),accredit,impute (generic term),ascribe (generic term),assign (generic term),attribute (generic term),,
3998,credit,12,(verb),account (generic term),calculate (generic term),debit (antonym),,,,
3999,credit,12,(verb),trust (generic term),swear (generic term),rely (generic term),bank (generic term),,,
4000,crew,5,(noun),unit (generic term),social unit (generic term),,,,,
4001,crew,5,(noun),gang,work party,unit (generic term),social unit (generic term),,,
4002,crew,5,(noun),crowd,gang,bunch,gathering (generic term),assemblage (generic term),,
4003,crew,5,(noun),team (generic term),squad (generic term),,,,,
4004,crew,5,(verb),man (generic term),,,,,,
4005,crime,2,(noun),law-breaking,transgression (generic term),evildoing (generic term),,,,
4006,crime,2,(noun),transgression (generic term),evildoing (generic term),,,,,
4007,criminal,4,(adj),condemnable,deplorable,reprehensible,vicious,wrong (similar term),,
4008,criminal,4,(adj),guilty (similar term),,,,,,
4009,criminal,4,(adj),felonious,illegal (similar term),,,,,
4010,criminal,4,(noun),felon,crook,outlaw,malefactor,wrongdoer (generic term),offender (generic term),
4011,crisis,2,(noun),situation (generic term),,,,,,
4012,crisis,2,(noun),juncture (generic term),occasion (generic term),,,,,
4013,critic,3,(noun),professional (generic term),professional person (generic term),,,,,
4014,critic,3,(noun),evaluator (generic term),judge (generic term),,,,,
4015,critic,3,(noun),unpleasant person (generic term),disagreeable person (generic term),,,,,
4016,critical,7,(adj),captious (similar term),faultfinding (similar term),caviling (similar term),carping (similar term),nitpicking (similar term),pettifogging (similar term),
4017,critical,7,(adj),supercritical (similar term),noncritical (antonym),,,,,
4018,critical,7,(adj),appraising (similar term),evaluative (similar term),discriminative (similar term),judicial (similar term),discerning (related term),scholarly (related term),
4019,critical,7,(adj),vital,indispensable (similar term),,,,,
4020,critical,7,(adj),decisive,crucial (similar term),important (similar term),,,,
4021,critical,7,(adj),acute (similar term),dangerous (similar term),grave (similar term),grievous (similar term),serious (similar term),severe (similar term),
4022,critical,7,(adj),critical appraisal,critical analysis (related term),,,,,
4023,criticism,3,(noun),unfavorable judgment,disapproval (generic term),,,,,
4024,criticism,3,(noun),critique,critical appraisal (generic term),critical analysis (generic term),,,,
4025,criticism,3,(noun),literary criticism,writing (generic term),written material (generic term),piece of writing (generic term),,,
4026,criticize,2,(verb),knock,criticise,pick apart,comment (generic term),notice (generic term),remark (generic term),
4027,criticize,2,(verb),criticise,act (generic term),,,,,
4028,crop,12,(noun),harvest,output (generic term),yield (generic term),,,,
4029,crop,12,(noun),plant (generic term),flora (generic term),plant life (generic term),,,,
4030,crop,12,(noun),collection (generic term),aggregation (generic term),accumulation (generic term),assemblage (generic term),,,
4031,crop,12,(noun),end product (generic term),output (generic term),,,,,
4032,crop,12,(noun),handle (generic term),grip (generic term),handgrip (generic term),hold (generic term),,,
4033,crop,12,(noun),craw,stomach (generic term),tummy (generic term),tum (generic term),breadbasket (generic term),,
4034,crop,12,(verb),cut (generic term),,,,,,
4035,crop,12,(verb),cultivate,work,fix (generic term),prepare (generic term),set up (generic term),ready (generic term),
4036,crop,12,(verb),bear (generic term),turn out (generic term),,,,,
4037,crop,12,(verb),graze,pasture,feed (generic term),give (generic term),,,
4038,crop,12,(verb),browse,graze,range,pasture,feed (generic term),eat (generic term),
4039,crop,12,(verb),snip,clip,trim,lop,dress,prune,
4040,cross,16,(adj),transverse,transversal,thwartwise,crosswise (similar term),,,
4041,cross,16,(adj),crabbed,crabby,fussy,grouchy,grumpy,bad-tempered,
4042,cross,16,(noun),structure (generic term),construction (generic term),,,,,
4043,cross,16,(noun),crisscross,mark,marking (generic term),,,,
4044,cross,16,(noun),Cross,emblem (generic term),,,,,
4045,cross,16,(noun),crown of thorns,affliction (generic term),,,,,
4046,cross,16,(noun),hybrid,crossbreed,organism (generic term),being (generic term),,,
4047,cross,16,(noun),hybridization,hybridisation,crossbreeding,crossing,interbreeding,hybridizing,
4048,cross,16,(verb),traverse,track,cover,pass over,get over,get across,
4049,cross,16,(verb),intersect,meet (generic term),run into (generic term),encounter (generic term),run across (generic term),come across (generic term),
4050,cross,16,(verb),thwart,queer,spoil,scotch,foil,frustrate,
4051,cross,16,(verb),fold (generic term),fold up (generic term),turn up (generic term),uncross (antonym),,,
4052,cross,16,(verb),traverse,span,sweep,cover (generic term),continue (generic term),extend (generic term),
4053,cross,16,(verb),intersect (generic term),cross (generic term),,,,,
4054,cross,16,(verb),write (generic term),,,,,,
4055,cross,16,(verb),crossbreed,hybridize,hybridise,interbreed,breed (generic term),,
4056,crowd,6,(noun),gathering (generic term),assemblage (generic term),,,,,
4057,crowd,6,(noun),crew,gang,bunch,gathering (generic term),assemblage (generic term),,
4058,crowd,6,(verb),herd,move (generic term),displace (generic term),,,,
4059,crowd,6,(verb),occupy (generic term),fill (generic term),,,,,
4060,crowd,6,(verb),crowd together,meet (generic term),gather (generic term),assemble (generic term),forgather (generic term),foregather (generic term),
4061,crowd,6,(verb),push,approach (generic term),near (generic term),come on (generic term),go up (generic term),draw near (generic term),
4062,crucial,4,(adj),important,critical (similar term),decisive (similar term),life-and-death (similar term),life-or-death (similar term),pivotal (similar term),
4063,crucial,4,(adj),material (similar term),,,,,,
4064,crucial,4,(adj),all-important,all important,essential,of the essence,important (similar term),of import (similar term),
4065,crucial,4,(adj),deciding,determinant,determinative,determining,decisive (similar term),,
4066,cry,12,(noun),outcry,call,yell,shout,vociferation,utterance (generic term),
4067,cry,12,(noun),yell,utterance (generic term),vocalization (generic term),,,,
4068,cry,12,(noun),war cry,rallying cry,battle cry,watchword,motto (generic term),slogan (generic term),
4069,cry,12,(noun),effusion (generic term),gush (generic term),outburst (generic term),blowup (generic term),ebullition (generic term),,
4070,cry,12,(noun),sound (generic term),,,,,,
4071,cry,12,(verb),shout,shout out,call,yell,scream,holler,
4072,cry,12,(verb),weep,express emotion (generic term),express feelings (generic term),laugh (antonym),,,
4073,cry,12,(verb),exclaim,cry out,outcry,call out,shout,express (generic term),
4074,cry,12,(verb),blazon out,announce (generic term),denote (generic term),,,,
4075,cry,12,(verb),want (generic term),need (generic term),require (generic term),,,,
4076,cry,12,(verb),utter (generic term),emit (generic term),let out (generic term),let loose (generic term),,,
4077,cry,12,(verb),change (generic term),alter (generic term),modify (generic term),,,,
4078,cultural,4,(adj),taste,appreciation,discernment,perceptiveness (related term),,,
4079,cultural,4,(adj),ethnic,ethnical,social (similar term),,,,
4080,cultural,4,(adj),content,cognitive content,mental object (related term),,,,
4081,cultural,4,(adj),cultivation (related term),,,,,,
4082,culture,7,(noun),civilization,civilisation,society (generic term),,,,
4083,culture,7,(noun),taste (generic term),appreciation (generic term),discernment (generic term),perceptiveness (generic term),,,
4084,culture,7,(noun),acculturation,content (generic term),cognitive content (generic term),mental object (generic term),,,
4085,culture,7,(noun),growth (generic term),growing (generic term),maturation (generic term),development (generic term),ontogeny (generic term),ontogenesis (generic term),
4086,culture,7,(noun),polish,refinement,cultivation,finish,perfection (generic term),flawlessness (generic term),
4087,culture,7,(noun),attitude (generic term),mental attitude (generic term),,,,,
4088,culture,7,(noun),cultivation (generic term),,,,,,
4089,cup,11,(noun),United States liquid unit (generic term),,,,,,
4090,cup,11,(noun),cupful,containerful (generic term),,,,,
4091,cup,11,(noun),crockery (generic term),dishware (generic term),container (generic term),,,,
4092,cup,11,(noun),loving cup,trophy (generic term),prize (generic term),,,,
4093,cup,11,(noun),concave shape (generic term),concavity (generic term),incurvation (generic term),incurvature (generic term),,,
4094,cup,11,(noun),hole (generic term),,,,,,
4095,cup,11,(noun),punch (generic term),,,,,,
4096,cup,11,(noun),plant organ (generic term),,,,,,
4097,cup,11,(verb),shape (generic term),form (generic term),,,,,
4098,cup,11,(verb),insert (generic term),enclose (generic term),inclose (generic term),stick in (generic term),put in (generic term),introduce (generic term),
4099,cup,11,(verb),transfuse,treat (generic term),care for (generic term),,,,
4100,curious,3,(adj),funny,odd,peculiar,queer,rum,rummy,
4101,curious,3,(adj),inquisitive (similar term),speculative (similar term),questioning (similar term),wondering (similar term),nosy (similar term),nosey (similar term),
4102,curious,3,(adj),interested (similar term),,,,,,
4103,current,4,(adj),actual (similar term),afoot (similar term),underway (similar term),circulating (similar term),contemporary (similar term),present-day (similar term),
4104,current,4,(noun),electric current,electrical phenomenon (generic term),,,,,
4105,current,4,(noun),stream,flow (generic term),flowing (generic term),,,,
4106,current,4,(noun),stream,flow,course (generic term),line (generic term),,,
4107,currently,1,(adv),presently,,,,,,
4108,curriculum,1,(noun),course of study,program,programme,syllabus,information (generic term),info (generic term),
4109,custom,5,(adj),custom-made,customized,customised,bespoke (similar term),bespoken (similar term),made-to-order (similar term),
4110,custom,5,(noun),usage,usance,practice (generic term),pattern (generic term),survival (generic term),,
4111,custom,5,(noun),tradition,practice (generic term),,,,,
4112,custom,5,(noun),customs,customs duty,impost,duty (generic term),tariff (generic term),,
4113,custom,5,(noun),trade (generic term),patronage (generic term),,,,,
4114,customer,1,(noun),client,consumer (generic term),,,,,
4115,cut,70,(adj),chopped (similar term),shredded (similar term),sliced (similar term),cut up (similar term),incised (similar term),perforated (similar term),
4116,cut,70,(adj),cut out (similar term),hewn (similar term),hand-hewn (similar term),sheared (similar term),slashed (similar term),uncut (antonym),
4117,cut,70,(adj),shortened,abridged (similar term),,,,,
4118,cut,70,(adj),trimmed,clipped (similar term),untrimmed (antonym),,,,
4119,cut,70,(adj),mown,new-mown (similar term),unmown (antonym),,,,
4120,cut,70,(adj),uncut (antonym),,,,,,
4121,cut,70,(adj),emasculated,gelded,castrated (similar term),unsexed (similar term),,,
4122,cut,70,(adj),gashed,slashed,injured (similar term),,,,
4123,cut,70,(adj),slashed,decreased (similar term),reduced (similar term),,,,
4124,cut,70,(adj),thinned,weakened,diluted (similar term),dilute (similar term),,,
4125,cut,70,(noun),decrease (generic term),diminution (generic term),reduction (generic term),step-down (generic term),,,
4126,cut,70,(noun),gash,slash,slice,wound (generic term),lesion (generic term),,
4127,cut,70,(noun),cut of meat,meat (generic term),,,,,
4128,cut,70,(noun),track,excerpt (generic term),excerption (generic term),extract (generic term),selection (generic term),,
4129,cut,70,(noun),cutting,opening (generic term),,,,,
4130,cut,70,(noun),share (generic term),portion (generic term),part (generic term),percentage (generic term),,,
4131,cut,70,(noun),gradation (generic term),step (generic term),,,,,
4132,cut,70,(noun),gash,furrow (generic term),,,,,
4133,cut,70,(noun),transition (generic term),,,,,,
4134,cut,70,(noun),cutting,division (generic term),,,,,
4135,cut,70,(noun),deletion,excision,editing (generic term),redaction (generic term),,,
4136,cut,70,(noun),fashion (generic term),,,,,,
4137,cut,70,(noun),cutting,cutting off,shortening (generic term),,,,
4138,cut,70,(noun),baseball swing,swing,stroke (generic term),shot (generic term),,,
4139,cut,70,(noun),stinger,abuse (generic term),insult (generic term),revilement (generic term),contumely (generic term),vilification (generic term),
4140,cut,70,(noun),canal (generic term),,,,,,
4141,cut,70,(noun),snub,cold shoulder,rebuff (generic term),slight (generic term),,,
4142,cut,70,(noun),undercut,stroke (generic term),shot (generic term),,,,
4143,cut,70,(noun),cutting,division (generic term),,,,,
4144,cut,70,(noun),absence (generic term),,,,,,
4145,cut,70,(verb),separate (generic term),disunite (generic term),divide (generic term),part (generic term),cut away (related term),cut out (related term),
4146,cut,70,(verb),reduce,cut down,cut back,trim,trim down,trim back,
4147,cut,70,(verb),swerve,sheer,curve,trend,veer,slue,
4148,cut,70,(verb),free (generic term),discharge (generic term),,,,,
4149,cut,70,(verb),make (generic term),create (generic term),,,,,
4150,cut,70,(verb),tailor,design (generic term),,,,,
4151,cut,70,(verb),hit (generic term),,,,,,
4152,cut,70,(verb),write out,issue,make out,write (generic term),,,
4153,cut,70,(verb),edit,edit out,change (generic term),alter (generic term),modify (generic term),,
4154,cut,70,(verb),skip,miss (generic term),,,,,
4155,cut,70,(verb),hack,cope (generic term),get by (generic term),make out (generic term),make do (generic term),contend (generic term),
4156,cut,70,(verb),look (generic term),appear (generic term),seem (generic term),,,,
4157,cut,70,(verb),move (generic term),,,,,,
4158,cut,70,(verb),pass (generic term),go through (generic term),go across (generic term),,,,
4159,cut,70,(verb),transit (generic term),pass through (generic term),move through (generic term),pass across (generic term),pass over (generic term),,
4160,cut,70,(verb),switch (generic term),shift (generic term),change (generic term),cut to (related term),,,
4161,cut,70,(verb),stop (generic term),,,,,,
4162,cut,70,(verb),record (generic term),tape (generic term),,,,,
4163,cut,70,(verb),record (generic term),tape (generic term),,,,,
4164,cut,70,(verb),burn,produce (generic term),make (generic term),create (generic term),,,
4165,cut,70,(verb),make (generic term),create (generic term),,,,,
4166,cut,70,(verb),perform (generic term),execute (generic term),do (generic term),,,,
4167,cut,70,(verb),function (generic term),work (generic term),operate (generic term),go (generic term),run (generic term),,
4168,cut,70,(verb),be (generic term),,,,,,
4169,cut,70,(verb),shuffle (generic term),ruffle (generic term),mix (generic term),,,,
4170,cut,70,(verb),switch off,turn off,turn out,throw (generic term),flip (generic term),switch (generic term),
4171,cut,70,(verb),reap (generic term),harvest (generic term),glean (generic term),,,,
4172,cut,70,(verb),fell (generic term),drop (generic term),strike down (generic term),cut down (generic term),,,
4173,cut,70,(verb),penetrate (generic term),perforate (generic term),,,,,
4174,cut,70,(verb),ignore,disregard,snub,treat (generic term),handle (generic term),do by (generic term),
4175,cut,70,(verb),shorten (generic term),,,,,,
4176,cut,70,(verb),prune,rationalize,rationalise,eliminate (generic term),get rid of (generic term),do away with (generic term),
4177,cut,70,(verb),dissolve (generic term),resolve (generic term),break up (generic term),,,,
4178,cut,70,(verb),decrease (generic term),lessen (generic term),minify (generic term),,,,
4179,cut,70,(verb),cut off,interrupt (generic term),disrupt (generic term),break up (generic term),cut off (generic term),cut off (related term),
4180,cut,70,(verb),abridge,foreshorten,abbreviate,shorten,contract,reduce,
4181,cut,70,(verb),dilute,thin,thin out,reduce,weaken (generic term),,
4182,cut,70,(verb),grow (generic term),develop (generic term),produce (generic term),get (generic term),acquire (generic term),,
4183,cut,70,(verb),grow (generic term),,,,,,
4184,cut,70,(verb),geld,emasculate (generic term),castrate (generic term),demasculinize (generic term),demasculinise (generic term),,
4185,cycle,11,(noun),rhythm,round,time interval (generic term),interval (generic term),,,
4186,cycle,11,(noun),series (generic term),,,,,,
4187,cycle,11,(noun),repeat (generic term),repetition (generic term),,,,,
4188,cycle,11,(noun),hertz,Hz,cycle per second,cycles/second,cps,rate (generic term),
4189,cycle,11,(noun),oscillation,periodic event (generic term),recurrent event (generic term),,,,
4190,cycle,11,(noun),bicycle,bike,wheel,wheeled vehicle (generic term),,,
4191,cycle,11,(verb),pass (generic term),make pass (generic term),,,,,
4192,cycle,11,(verb),pass (generic term),go through (generic term),go across (generic term),,,,
4193,cycle,11,(verb),motorbike,motorcycle,ride (generic term),,,,
4194,cycle,11,(verb),bicycle,bike,pedal,wheel,ride (generic term),,
4195,cycle,11,(verb),recur (generic term),repeat (generic term),,,,,
4196,dad,1,(noun),dada,daddy,pa,papa,pappa,pop,
4197,daily,5,(adj),day-to-day,day-after-day,every day,regular (similar term),,,
4198,daily,5,(adj),time unit,unit of time (related term),,,,,
4199,daily,5,(noun),newspaper (generic term),paper (generic term),,,,,
4200,daily,5,(adv),every day,each day,,,,,
4201,daily,5,(adv),day by day,,,,,,
4202,damage,6,(noun),harm,impairment,change (generic term),alteration (generic term),modification (generic term),,
4203,damage,6,(noun),equipment casualty,casualty (generic term),,,,,
4204,damage,6,(noun),harm,hurt,scathe,change of integrity (generic term),,,
4205,damage,6,(noun),price,terms,cost (generic term),,,,
4206,damage,6,(noun),wrong,legal injury,wrongdoing (generic term),wrongful conduct (generic term),misconduct (generic term),actus reus (generic term),
4207,damage,6,(verb),change (generic term),alter (generic term),modify (generic term),,,,
4208,dance,7,(noun),art (generic term),fine art (generic term),,,,,
4209,dance,7,(noun),party (generic term),,,,,,
4210,dance,7,(noun),dancing,terpsichore,saltation,diversion (generic term),recreation (generic term),performing arts (generic term),
4211,dance,7,(noun),party (generic term),,,,,,
4212,dance,7,(verb),move (generic term),,,,,,
4213,dance,7,(verb),trip the light fantastic,trip the light fantastic toe,move (generic term),,,,
4214,dance,7,(verb),move (generic term),,,,,,
4215,danger,4,(noun),condition (generic term),status (generic term),safety (antonym),,,,
4216,danger,4,(noun),risk,peril,venture (generic term),,,,
4217,danger,4,(noun),causal agent (generic term),cause (generic term),causal agency (generic term),,,,
4218,danger,4,(noun),area (generic term),country (generic term),,,,,
